timestamp,open,high,low,close,volume
2022-11-02,9.8800,9.8800,9.8800,9.8800,105
2022-11-01,9.8700,9.8800,9.8700,9.8800,53900
2022-10-31,9.8700,9.8700,9.8700,9.8700,0
2022-10-28,9.8500,9.8700,9.8500,9.8700,299296
2022-10-27,9.8700,9.8700,9.8700,9.8700,0
2022-10-26,9.8300,9.8700,9.8300,9.8700,100105
2022-10-25,9.8200,9.8300,9.8200,9.8300,346167
2022-10-24,9.8200,9.8200,9.8200,9.8200,4289
2022-10-21,9.8200,9.8200,9.8200,9.8200,10840
2022-10-20,9.8125,9.8294,9.8125,9.8294,105553
2022-10-19,9.8150,9.8200,9.8100,9.8100,22260
2022-10-18,9.8200,9.8200,9.8200,9.8200,0
2022-10-17,9.7900,9.8200,9.7900,9.8200,798
2022-10-14,9.7800,9.7900,9.7800,9.7900,5313
2022-10-13,9.8150,9.8200,9.7800,9.7800,5602
2022-10-12,9.7800,9.7800,9.7800,9.7800,0
2022-10-11,9.7800,9.7800,9.7800,9.7800,0
2022-10-10,9.7800,9.7800,9.7800,9.7800,0
2022-10-07,9.7800,9.7800,9.7800,9.7800,5000
2022-10-06,9.7800,9.7800,9.7800,9.7800,100
2022-10-05,9.7700,9.7800,9.7700,9.7700,401
2022-10-04,9.8000,9.8000,9.7764,9.7764,875
2022-10-03,9.7800,9.7800,9.7700,9.7700,1100
2022-09-30,9.7600,9.7700,9.7600,9.7700,10900
2022-09-29,9.7600,9.7600,9.7600,9.7600,0
2022-09-28,9.7600,9.7800,9.7600,9.7600,139732
2022-09-27,9.7600,9.8000,9.7600,9.8000,20100
2022-09-26,9.7600,9.7600,9.7600,9.7600,200
2022-09-23,9.7700,9.7700,9.7700,9.7700,11400
2022-09-22,9.7600,9.7600,9.7600,9.7600,0
2022-09-21,9.7500,9.7600,9.7500,9.7600,900
2022-09-20,9.7400,9.7500,9.7400,9.7400,26361
2022-09-19,9.7450,9.7450,9.7400,9.7400,1009
2022-09-16,9.7400,9.7400,9.7400,9.7400,4500
2022-09-15,9.7300,9.7300,9.7300,9.7300,100
2022-09-14,9.7300,9.7300,9.7300,9.7300,0
2022-09-13,9.7400,9.7400,9.7300,9.7300,7541
2022-09-12,9.7600,9.7600,9.7600,9.7600,0
2022-09-09,9.7600,9.7700,9.7300,9.7600,5196
2022-09-08,9.7700,9.7700,9.7700,9.7700,0
2022-09-07,9.7700,9.7700,9.7700,9.7700,400
2022-09-06,9.7800,9.7800,9.7800,9.7800,2
2022-09-02,9.7900,9.7900,9.7800,9.7800,1000
2022-09-01,9.8000,9.8000,9.8000,9.8000,0
2022-08-31,9.7800,9.8000,9.7800,9.8000,1115
2022-08-30,9.7700,9.7800,9.7700,9.7800,19328
2022-08-29,9.7900,9.7900,9.7900,9.7900,0
2022-08-26,9.7600,9.8200,9.7600,9.7900,2510
2022-08-25,9.7500,9.7601,9.7500,9.7600,1137100
2022-08-24,9.7700,9.7700,9.7700,9.7700,200
2022-08-23,9.7800,9.7800,9.7800,9.7800,0
2022-08-22,9.7800,9.7800,9.7800,9.7800,0
2022-08-19,9.7600,9.7800,9.7500,9.7800,28499
2022-08-18,9.7600,9.7700,9.7600,9.7700,10000
2022-08-17,9.7500,9.7600,9.7500,9.7600,737
2022-08-16,9.7500,9.7500,9.7500,9.7500,25
2022-08-15,9.7500,9.7500,9.7500,9.7500,74704
2022-08-12,9.7500,9.7500,9.7500,9.7500,0
2022-08-11,9.7300,9.7500,9.7300,9.7500,101000
2022-08-10,9.7400,9.7400,9.7400,9.7400,100
2022-08-09,9.7400,9.7500,9.7400,9.7500,10000
2022-08-08,9.7200,9.7200,9.7200,9.7200,100
2022-08-05,9.6900,9.6900,9.6900,9.6900,100
2022-08-04,9.7400,9.7400,9.7400,9.7400,1
2022-08-03,9.7200,9.7500,9.7200,9.7400,45044
2022-08-02,9.7200,9.7200,9.7200,9.7200,12522
2022-08-01,9.7200,9.7200,9.7200,9.7200,0
2022-07-29,9.7200,9.7400,9.7050,9.7200,4271
2022-07-28,9.7200,9.7200,9.7200,9.7200,222
2022-07-27,9.7200,9.7200,9.7100,9.7100,358
2022-07-26,9.7100,9.7200,9.7100,9.7200,96662
2022-07-25,9.7100,9.7200,9.7000,9.7100,74323
2022-07-22,9.7000,9.7150,9.7000,9.7100,169000
2022-07-21,9.7100,9.7100,9.7100,9.7100,100000
2022-07-20,9.7000,9.7100,9.7000,9.7100,11351
2022-07-19,9.7000,9.7000,9.7000,9.7000,9100
2022-07-18,9.7000,9.7000,9.7000,9.7000,0
2022-07-15,9.7000,9.7000,9.7000,9.7000,0
2022-07-14,9.6800,9.7000,9.6800,9.7000,22867
2022-07-13,9.6500,9.7000,9.6500,9.6900,4200
2022-07-12,9.7000,9.7000,9.7000,9.7000,23061
2022-07-11,9.6900,9.7000,9.6900,9.7000,4180
2022-07-08,9.6900,9.6900,9.6900,9.6900,573
2022-07-07,9.6900,9.6900,9.6900,9.6900,15509
2022-07-06,9.6700,9.6700,9.6700,9.6700,475
2022-07-05,9.6800,9.6900,9.6800,9.6900,6147
2022-07-01,9.6700,9.6700,9.6700,9.6700,0
2022-06-30,9.6900,9.6900,9.6700,9.6700,14486
2022-06-29,9.6900,9.6900,9.6900,9.6900,0
2022-06-28,9.6900,9.6900,9.6900,9.6900,60977
2022-06-27,9.6600,9.6600,9.6600,9.6600,1
2022-06-24,9.6600,9.6600,9.6600,9.6600,20
2022-06-23,9.6600,9.6600,9.6600,9.6600,246000
2022-06-22,9.6900,9.6900,9.6900,9.6900,0
2022-06-21,9.6500,9.6900,9.6500,9.6900,4756
2022-06-17,9.6500,9.6900,9.6500,9.6900,1001
2022-06-16,9.6900,9.6900,9.6500,9.6500,119032
2022-06-15,9.6800,9.6900,9.6800,9.6900,46065
2022-06-14,9.6800,9.6800,9.6800,9.6800,0
2022-06-13,9.6700,9.6800,9.6700,9.6800,2000
2022-06-10,9.6700,9.6700,9.6700,9.6700,0
2022-06-09,9.6700,9.6700,9.6700,9.6700,0
2022-06-08,9.6700,9.6700,9.6700,9.6700,2
2022-06-07,9.6700,9.6700,9.6700,9.6700,0
2022-06-06,9.6700,9.6700,9.6700,9.6700,0
2022-06-03,9.6700,9.6700,9.6700,9.6700,0
2022-06-02,9.6700,9.6700,9.6700,9.6700,544
2022-06-01,9.6400,9.6500,9.6300,9.6300,20001
2022-05-31,9.6800,9.6800,9.6650,9.6650,80067
